3  	91.487   2014 07 03	 56841.0557552  28.252    0.0004    57.14       0.003      1.549    0.016 
7   	337.487		    2014 07 07	 56845.1131701  28.240    0.0003    57.28       0.002    11.322    0.248 
9   	675.002		    2014 07 18	 56856.0551458  28.216    0.0004    57.16      0.003    23.150    0.825 
6   	224.992		    2014 12 16	 57007.4699005  28.743    0.0008    56.41       0.004     4.171     0.083 
4   	138.987      2015 01 10   57040.5804693  28.163    0.0014    56.44       0.006     2.481    0.042 
8   	398.987      2015 05 02   57144.1387865  27.943    0.0003    56.80       0.002    13.404    0.188 
4    	138.987      2016 12 19   57741.4962025  27.259    0.0005    53.85       0.004    2.844      0.035  
6    	224.992	     2016 12 29   57752.4800353  27.244    0.0003    53.83       0.002    6.089      0.056 
9    	675.002      2017 03 21   57834.3408501  27.134    0.0007    54.26       0.005    42.870    1.534 
8    	398.987      2017 03 26   57838.2734034  27.125    0.0004    54.30       0.003    16.050    0.188 
7   	337.487	     2017 03 26   57838.2947216  27.124    0.0003    54.24       0.002    12.352    0.076  
3   	91.487    2017 05 07	   57881.1324039  27.009    0.0003    54.16       0.003     1.354    0.019 
