JDutc1 JDutc2 BJDtdb1 BJDtdb2 RvST RvgT RvsT
2440000 0 2440000 -0.00310101439613096 3995.47503712841 0.00312449217824439 0.689517987541856
2440010 0 2440010 -0.0034068710470736 3995.47676806536 0.00312495337514069 0.689520706372251
2440020 0 2440020 -0.00360366133267 3995.47879230135 0.00312541497682659 0.689523426742631
2440030 0 2440030 -0.00368681385197531 3995.48113423659 0.00312587698389002 0.689526148655682
2440040 0 2440040 -0.00365357202980471 3995.48381418025 0.0031263393968362 0.689528872113602
2440050 0 2440050 -0.00350525815030714 3995.48684078071 0.00312680221598252 0.689531597117479
2440060 0 2440060 -0.00324623975833755 3995.4902125532 0.00312726544150557 0.689534323667573
2440070 0 2440070 -0.00288294981102176 3995.49392269285 0.003127729073486 0.689537051763579
2440080 0 2440080 -0.00242590878168413 3995.49795111321 0.00312819311181423 0.689539781404076
2440090 0 2440090 -0.00188748932132864 3995.50227086574 0.00312865755629347 0.689542512587129
2440100 0 2440100 -0.00128219546386545 3995.50684857815 0.00312912240662639 0.689545245310218
2440110 0 2440110 -0.000627655332208352 3995.51163912026 0.00312958766236847 0.689547979569961
2440120 0 2440120 5.80988276719223e-05 3995.51659478195 0.00313005332305404 0.689550715362856
2440130 0 2440130 0.000755329751087954 3995.52166150893 0.0031305193881356 0.689553452684924
2440140 0 2440140 0.00144311125555141 3995.52677847905 0.00313098585700751 0.689556191531854
2440150 0 2440150 0.00210166081798999 3995.53188698693 0.00313145272911467 0.689558931899634
2440160 0 2440160 0.00271065088464556 3995.53692437291 0.00313192000387388 0.689561673784092
2440170 0 2440170 0.00325116889298688 3995.5418290632 0.00313238768076532 0.689564417181438
2440180 0 2440180 0.00370689013072766 3995.54654614615 0.00313285575938786 0.689567162088579
2440190 0 2440190 0.00406267819148274 3995.55102151685 0.0031333242393939 0.68956990850274
2440200 0 2440200 0.00430731711808128 3995.55521073134 0.00313379312061781 0.689572656422219
2440210 0 2440210 0.00443308468242464 3995.5590792457 0.00313426240305667 0.689575405846268
2440220 0 2440220 0.00443507758339842 3995.56259879181 0.0031347320868393 0.689578156774911
2440230 0 2440230 0.00431366082473287 3995.56575666008 0.00313520217234196 0.689580909209623
2440240 0 2440240 0.00407252989124746 3995.56855035664 0.00313567266009831 0.689583663152797
2440250 0 2440250 0.00371891323487985 3995.57098726094 0.00313614355080952 0.689586418607807
2440260 0 2440260 0.00326478407110689 3995.57309070029 0.00313661484540222 0.689589175579337
2440270 0 2440270 0.00272410202738189 3995.57489095048 0.00313708654489926 0.689591934072633
2440280 0 2440280 0.0021138442987331 3995.57642832631 0.00313755865046882 0.689594694093781
2440290 0 2440290 0.00145356630703688 3995.57775383562 0.0031380311634043 0.689597455649595
2440300 0 2440300 0.000762883943300236 3995.57892001395 0.00313850408500568 0.689600218746917
2440310 0 2440310 6.30603442292502e-05 3995.57998662111 0.00313897741665472 0.689602983393059
2440320 0 2440320 -0.000624859637361123 3995.58101583237 0.00313945115972689 0.68960574959529
2440330 0 2440330 -0.00128138619520686 3995.58206639856 0.00313992531552787 0.68960851736046
2440340 0 2440340 -0.00188699974888661 3995.5831999775 0.00314039988536855 0.689611286695445
2440350 0 2440350 -0.00242477218454141 3995.58447268127 0.00314087487044042 0.689614057606415
2440360 0 2440360 -0.00288011250652973 3995.58593453056 0.00314135027182721 0.689616830098904
2440370 0 2440370 -0.00323987885581176 3995.58763378452 0.0031418260905466 0.689619604178056
2440380 0 2440380 -0.00349490382624433 3995.58960771366 0.00314230232742968 0.689622379847921
2440390 0 2440390 -0.00363836694182247 3995.59188717102 0.00314277898319773 0.689625157111905
2440400 0 2440400 -0.00366608207786106 3995.5944968408 0.00314325605844797 0.689627935972688
2440410 0 2440410 -0.00357813455561066 3995.59744824897 0.0031437335535749 0.689630716431768
2440420 0 2440420 -0.00337656233458918 3995.6007474426 0.00314421146888021 0.689633498490099
2440430 0 2440430 -0.00306679541885384 3995.6043907559 0.00314468980450352 0.689636282147696
2440440 0 2440440 -0.00265787636435219 3995.60836234969 0.00314516856041112 0.68963906740356
2440450 0 2440450 -0.00216031118311726 3995.61264202805 0.00314564773649823 0.689641854256285
2440460 0 2440460 -0.00158810266730603 3995.61719811573 0.00314612733249116 0.689644642703484
2440470 0 2440470 -0.000957429727574119 3995.62199046407 0.00314660734800994 0.689647432742155
2440480 0 2440480 -0.000285393323821229 3995.6269756026 0.00314708778262821 0.689650224369034
2440490 0 2440490 0.000408214595889063 3995.63209966963 0.00314756863578786 0.689653017580091
2440500 0 2440500 0.00110343330713794 3995.63730614305 0.00314804990691993 0.689655812371243
2440510 0 2440510 0.0017801504930749 3995.6425367272 0.00314853159544542 0.689658608738351
2440520 0 2440520 0.00241737013017387 3995.64772733433 0.00314901370073986 0.68966140667702
2440530 0 2440530 0.00299616809512505 3995.6528181668 0.00314949622227589 0.689664206183423
2440540 0 2440540 0.00349858001173875 3995.65775039678 0.00314997915956989 0.689667007253992
2440550 0 2440550 0.00390823159948879 3995.66246690378 0.00315046251221265 0.689669809885595
2440560 0 2440560 0.00421269692855972 3995.6669212118 0.00315094627998387 0.6896726140762
2440570 0 2440570 0.00440169262033353 3995.67107138599 0.0031514304627655 0.68967541982437
2440580 0 2440580 0.00446879765531018 3995.67488517077 0.00315191506062556 0.689678227129746
2440590 0 2440590 0.00441227561928402 3995.67834431238 0.00315240007385883 0.689681035993288
