3     91.487 2014 07 03 56841.0557552 28.800 0.0004 58.14        0.003     3.159    0.016 
7     337.487		        2014 07 07			   56845.1131701  28.802    0.0003    58.18        0.002    25.989    0.191 
9     675.002		        2014 07 18			   56856.0551458  28.777    0.0004    58.08        0.003    76.945    1.647 
6     224.992		        2014 12 16			   57007.4699005  28.716    0.0008    57.61        0.004     9.373    0.082 
4     138.987      2015 01 10	  57040.5804693  28.663    0.0014    57.99        0.006     5.255    0.042 
8     398.987      2015 05 02	  57144.1387865  28.455    0.0003    58.29        0.002    30.850    0.175 
4     138.987      2016 12 19	  57741.4962025  27.654    0.0005    56.78       0.004     5.685    0.037  
6     224.992      2016 12 29	  57752.4800353  27.636    0.0003    56.79       0.002    12.675    0.063 
9     675.002      2017 03 21	  57834.3408501  27.511    0.0007    57.42       0.005    92.226    1.542 
8     398.987      2017 03 26	  57838.2734034  27.499    0.0004    57.46       0.003    34.969    0.188 
7     337.487      2017 03 26	  57838.2947216  27.498    0.0003    57.38       0.002    26.608    0.075  
3     91.487    2017 05 07		  57881.1324039  27.374    0.0003    57.41       0.003     2.652    0.019 
